bmr,index,model_average,Exponential2,Exponential3,Exponential4,Exponential5,Hill,Power,MichaelisMenten,Linear
"Central tendency: Relative, 0.05: Adversity: 0.05,",1,0.269069268,0.238835678,0.264784195,0.210691921,0.396845911,0.305857175,0.299445803,0.219350698,0.250671267
"Central tendency: Relative, 0.05: Adversity: 0.05,",2,0.232571896,0.259821713,0.248204657,0.220118162,0.458865271,0.358756539,0.301493105,0.2404929,0.279719293
"Central tendency: Relative, 0.05: Adversity: 0.05,",3,0.262602549,0.251113167,0.345281062,0.218678159,0.459006641,0.295612548,0.36093398,0.260687265,0.261985993
"Central tendency: Relative, 0.05: Adversity: 0.05,",4,0.271947243,0.292769508,0.242762352,0.209280739,0.422537511,0.282891168,0.284869313,0.212372356,0.283393357
"Central tendency: Relative, 0.05: Adversity: 0.05,",5,0.246320737,0.23231301,0.349276793,0.211095999,0.381201033,0.267207746,0.288987155,0.219965326,0.297204547
"Central tendency: Relative, 0.05: Adversity: 0.05,",6,0.240387592,0.260204688,0.220839436,0.17602314,0.466914136,0.347501127,0.369165975,0.238495442,0.287851775
"Central tendency: Relative, 0.05: Adversity: 0.05,",7,0.246048551,0.276714392,0.266806603,0.212154776,0.478005237,0.22814308,0.29592026,0.190524605,0.272806363
"Central tendency: Relative, 0.05: Adversity: 0.05,",8,0.227874831,0.258393852,0.362329512,0.217898989,0.358413586,0.255305745,0.2659568,0.234692262,0.248113286
"Central tendency: Relative, 0.05: Adversity: 0.05,",9,0.244446288,0.242057362,0.269564144,0.239451178,0.467539132,0.457817126,0.316384315,0.226779981,0.267288093
"Central tendency: Relative, 0.05: Adversity: 0.05,",10,0.241599823,0.239158572,0.401157112,0.242374392,0.479057091,0.212508687,0.411249364,0.218573126,0.256879988
"Central tendency: Relative, 0.05: Adversity: 0.05,",11,0.265028634,0.264812667,0.296841185,0.235376912,0.460995394,0.456596237,0.367286654,0.211250111,0.262480447
"Central tendency: Relative, 0.05: Adversity: 0.05,",12,0.267333369,0.249582588,0.315654536,0.214122702,0.43785412,0.33127873,0.425411296,0.230988325,0.252854403
"Central tendency: Relative, 0.05: Adversity: 0.05,",13,0.251492937,0.251153494,0.321912031,0.274863061,0.42207181,0.271387293,0.322000069,0.210611165,0.261772241
"Central tendency: Relative, 0.05: Adversity: 0.05,",14,0.246752287,0.240477076,0.441235853,0.25785183,0.368088459,0.477377692,0.371450634,0.22541,0.291028879
"Central tendency: Relative, 0.05: Adversity: 0.05,",15,0.249443616,0.243518701,0.317428653,0.232716289,0.448397829,0.399435598,0.33590711,0.225104527,0.282017951
"Central tendency: Relative, 0.05: Adversity: 0.05,",16,0.238204213,0.247233324,0.437260825,0.227059524,0.463624099,0.383369877,0.38006708,0.231362155,0.26719127
"Central tendency: Relative, 0.05: Adversity: 0.05,",17,0.238236146,0.268932214,0.258197439,0.207850814,0.469648518,0.292431365,0.315907438,0.195874584,0.256719991
"Central tendency: Relative, 0.05: Adversity: 0.05,",18,0.253768291,0.22934095,0.28657309,0.233868177,0.304141607,0.406041651,0.469207486,0.238286959,0.271046516
"Central tendency: Relative, 0.05: Adversity: 0.05,",19,0.232042785,0.266741401,0.371799261,0.263648404,0.235791368,0.282789694,0.323826692,0.236181002,0.28135075
"Central tendency: Relative, 0.05: Adversity: 0.05,",20,0.265207076,0.243371275,0.293140845,0.257419197,0.478473685,0.309926891,0.383426159,0.267380164,0.260823211
"Central tendency: Relative, 0.05: Adversity: 0.05,",21,0.236080687,0.269808687,0.413631502,0.223355322,0.442549314,0.321354646,0.307737569,0.193475247,0.25471954
"Central tendency: Relative, 0.05: Adversity: 0.05,",22,0.251787692,0.260719337,0.377276637,0.222967384,0.322360236,0.443903856,0.42661267,0.223243041,0.278405785
"Central tendency: Relative, 0.05: Adversity: 0.05,",23,0.258505383,0.252266984,0.255311429,0.24997065,0.356027802,0.244774056,0.420413755,0.234049995,0.261735298
"Central tendency: Relative, 0.05: Adversity: 0.05,",24,0.252481686,0.237423687,0.352748497,0.228957577,0.441861672,0.245576847,0.298350509,0.220398711,0.263856491
"Central tendency: Relative, 0.05: Adversity: 0.05,",25,0.253507168,0.240460323,0.301636345,0.233828215,0.423077331,0.420713663,0.312514394,0.204558268,0.269690058
"Central tendency: Relative, 0.05: Adversity: 0.05,",26,0.260884235,0.237059172,0.270839329,0.248962553,0.476034604,0.375849048,0.35895784,0.191240406,0.248406056
"Central tendency: Relative, 0.05: Adversity: 0.05,",27,0.257578381,0.294313096,0.382546389,0.249979815,0.391058764,0.33819313,0.395376085,0.198264981,0.268098566
"Central tendency: Relative, 0.05: Adversity: 0.05,",28,0.252712594,0.246350549,0.387233462,0.233315725,0.306148898,0.25763334,0.309743704,0.199105532,0.295265916
"Central tendency: Relative, 0.05: Adversity: 0.05,",29,0.261191746,0.230405193,0.344463374,0.20611632,0.377419097,0.345421116,0.277840986,0.229775029,0.248476001
"Central tendency: Relative, 0.05: Adversity: 0.05,",30,0.219066476,0.277561519,0.327783205,0.226117591,0.488052992,0.380527185,0.362372211,0.231407756,0.252246319
"Central tendency: Relative, 0.05: Adversity: 0.05,",31,0.227012641,0.21995105,0.271942842,0.245218216,0.309305543,0.276275153,0.336591747,0.197692326,0.274212175
"Central tendency: Relative, 0.05: Adversity: 0.05,",32,0.259811218,0.240349335,0.231902635,0.252951468,0.361044213,0.29947049,0.342971403,0.184151224,0.253625927
"Central tendency: Relative, 0.05: Adversity: 0.05,",33,0.252982336,0.279247239,0.264485433,0.243962193,0.471878684,0.273010777,0.311545986,0.228729807,0.251861718
"Central tendency: Relative, 0.05: Adversity: 0.05,",34,0.230388683,0.228448553,0.322158313,0.253002847,0.4773234,0.272071578,0.253365944,0.228899963,0.267597732
"Central tendency: Relative, 0.05: Adversity: 0.05,",35,0.239989456,0.24189998,0.325311502,0.277477642,0.464119908,0.419829647,0.42378627,0.201113022,0.258978371
"Central tendency: Relative, 0.05: Adversity: 0.05,",36,0.253955788,0.248179485,0.281679279,0.261630548,0.461341898,0.267552828,0.292368372,0.207522783,0.269689049
"Central tendency: Relative, 0.05: Adversity: 0.05,",37,0.251475384,0.252389233,0.396245471,0.232766428,0.319669657,0.50295713,0.276273896,0.201914143,0.279027976
"Central tendency: Relative, 0.05: Adversity: 0.05,",38,0.230150694,0.233091813,0.42165249,0.249692774,0.346561575,0.311742995,0.486949035,0.261274068,0.260352053
"Central tendency: Relative, 0.05: Adversity: 0.05,",39,0.251942035,0.259680903,0.304006378,0.226719956,0.462346046,0.356591336,0.325578052,0.235974441,0.270203126
"Central tendency: Relative, 0.05: Adversity: 0.05,",40,0.253892222,0.237971581,0.386907496,0.23108457,0.392502909,0.41532513,0.308238603,0.207156623,0.256356253
"Central tendency: Relative, 0.05: Adversity: 0.05,",41,0.248682435,0.243156193,0.419046152,0.272656622,0.363119571,0.378931475,0.410392535,0.228913916,0.276391092
"Central tendency: Relative, 0.05: Adversity: 0.05,",42,0.268278154,0.247802137,0.3387784,0.279241901,0.347727585,0.25622213,0.319314396,0.232648513,0.289489481
"Central tendency: Relative, 0.05: Adversity: 0.05,",43,0.264977602,0.224007065,0.282139854,0.219212058,0.309549783,0.254472965,0.293839641,0.19494533,0.281282691
"Central tendency: Relative, 0.05: Adversity: 0.05,",44,0.245125137,0.241029598,0.32415013,0.242953769,0.34051554,0.300965479,0.431065531,0.217339577,0.266142834
"Central tendency: Relative, 0.05: Adversity: 0.05,",45,0.253538275,0.266448445,0.333652503,0.234752952,0.379378863,0.338571917,0.411928002,0.213313451,0.21811796
"Central tendency: Relative, 0.05: Adversity: 0.05,",46,0.240482736,0.252075441,0.28126589,0.253390107,0.478826662,0.339626548,0.395458284,0.196150024,0.276280039
"Central tendency: Relative, 0.05: Adversity: 0.05,",47,0.239581314,0.241452596,0.41417163,0.251591898,0.426321536,0.341700586,0.298722039,0.222890794,0.251422623
"Central tendency: Relative, 0.05: Adversity: 0.05,",48,0.253561929,0.232998591,0.302038707,0.246971543,0.425043272,0.432532854,0.297538034,0.231804522,0.257261178
"Central tendency: Relative, 0.05: Adversity: 0.05,",49,0.265645261,0.234410589,0.290637504,0.24583084,0.484228038,0.266320888,0.258570128,0.205865219,0.25620784
"Central tendency: Relative, 0.05: Adversity: 0.05,",50,0.254893111,0.233807702,0.378993672,0.207681461,0.271659619,0.328029805,0.35669612,0.266008957,0.286213984
"Central tendency: Relative, 0.05: Adversity: 0.05,",51,0.208793783,0.244842075,0.355324982,0.253958337,0.33485325,0.273711355,0.313108096,0.196777269,0.270852259
"Central tendency: Relative, 0.05: Adversity: 0.05,",52,0.24641943,0.242817136,0.373664249,0.225183302,0.477630507,0.459459176,0.355007995,0.195197714,0.272733104
"Central tendency: Relative, 0.05: Adversity: 0.05,",53,0.232726649,0.218730465,0.286692262,0.234826952,0.327972168,0.363474986,0.271784759,0.218454086,0.248596935
"Central tendency: Relative, 0.05: Adversity: 0.05,",54,0.245679823,0.274807802,0.307475507,0.256830145,0.315246157,0.308624958,0.406783175,0.21165067,0.273469172
"Central tendency: Relative, 0.05: Adversity: 0.05,",55,0.248106598,0.261453334,0.358329343,0.207898104,0.335654418,0.363643726,0.28082458,0.212678569,0.265905977
"Central tendency: Relative, 0.05: Adversity: 0.05,",56,0.244061435,0.240508405,0.266372014,0.226657359,0.435993037,0.256840748,0.413540859,0.188387985,0.249212596
"Central tendency: Relative, 0.05: Adversity: 0.05,",57,0.241587675,0.256488594,0.389158115,0.246049793,0.499211962,0.25569756,0.328492977,0.23948852,0.25979933
"Central tendency: Relative, 0.05: Adversity: 0.05,",58,0.223648319,0.23724365,0.368770205,0.235216575,0.393398884,0.239007898,0.415679408,0.221094909,0.294545949
"Central tendency: Relative, 0.05: Adversity: 0.05,",59,0.242388438,0.228990807,0.356092234,0.244117241,0.444385958,0.301028419,0.27999654,0.212658323,0.254213302
"Central tendency: Relative, 0.05: Adversity: 0.05,",60,0.239022644,0.250067706,0.448985251,0.248001147,0.433796602,0.369148344,0.312043133,0.207682031,0.260889502
"Central tendency: Relative, 0.05: Adversity: 0.05,",61,0.273621336,0.248077307,0.264650058,0.281865816,0.467303986,0.247549982,0.293631068,0.215909149,0.25557483
"Central tendency: Relative, 0.05: Adversity: 0.05,",62,0.268026963,0.260639971,0.333244148,0.194567531,0.248944599,0.382009615,0.319951839,0.253355601,0.259481285
"Central tendency: Relative, 0.05: Adversity: 0.05,",63,0.265642452,0.253553119,0.252906315,0.243723874,0.409400506,0.432277766,0.318818021,0.234818256,0.289361656
"Central tendency: Relative, 0.05: Adversity: 0.05,",64,0.25390805,0.248936991,0.368782322,0.226515919,0.485230075,0.394494177,0.347916189,0.229686808,0.25228697
"Central tendency: Relative, 0.05: Adversity: 0.05,",65,0.247247595,0.237185702,0.360848472,0.210970845,0.470808544,0.293674095,0.360206503,0.202518035,0.265202459
"Central tendency: Relative, 0.05: Adversity: 0.05,",66,0.242534021,0.244465044,0.366956086,0.230704423,0.336359727,0.350705199,0.263279246,0.277283901,0.27916622
"Central tendency: Relative, 0.05: Adversity: 0.05,",67,0.237802276,0.267801913,0.323921923,0.213937492,0.45252532,0.320997323,0.349549349,0.226982898,0.270106057
"Central tendency: Relative, 0.05: Adversity: 0.05,",68,0.223304528,0.25999147,0.327112857,0.227439796,0.313933624,0.285439585,0.373634281,0.244015055,0.261105173
"Central tendency: Relative, 0.05: Adversity: 0.05,",69,0.227676804,0.256914816,0.346849509,0.247588036,0.407594986,0.319977628,0.321217474,0.226374029,0.267255925
"Central tendency: Relative, 0.05: Adversity: 0.05,",70,0.247780848,0.239914033,0.364343742,0.227749973,0.298321517,0.288301112,0.27116021,0.205837136,0.292805469
"Central tendency: Relative, 0.05: Adversity: 0.05,",71,0.233541335,0.252780768,0.379513592,0.249938363,0.342343564,0.33479437,0.32280775,0.237839489,0.29177148
"Central tendency: Relative, 0.05: Adversity: 0.05,",72,0.229008448,0.261545008,0.441286377,0.224204613,0.450987216,0.380677685,0.308866884,0.214861546,0.250004166
"Central tendency: Relative, 0.05: Adversity: 0.05,",73,0.265511597,0.240890906,0.308878394,0.23940218,0.335872545,0.254439261,0.316582711,0.230680844,0.280362372
"Central tendency: Relative, 0.05: Adversity: 0.05,",74,0.212119521,0.265833083,0.299654619,0.243715093,0.455607868,0.42926497,0.423061276,0.224989641,0.256739799
"Central tendency: Relative, 0.05: Adversity: 0.05,",75,0.239148339,0.22752533,0.320478285,0.248778349,0.32888938,0.367570741,0.441836488,0.217523184,0.274183802
"Central tendency: Relative, 0.05: Adversity: 0.05,",76,0.249162076,0.271844695,0.311224805,0.228594719,0.39459799,0.338354227,0.31890631,0.229712553,0.245040633
"Central tendency: Relative, 0.05: Adversity: 0.05,",77,0.231036027,0.250640015,0.339414387,0.224520638,0.289066172,0.372521206,0.295212489,0.214203062,0.249223628
"Central tendency: Relative, 0.05: Adversity: 0.05,",78,0.258185076,0.237055985,0.251504627,0.249945118,0.241936587,0.440565349,0.384274798,0.2380561,0.287085803
"Central tendency: Relative, 0.05: Adversity: 0.05,",79,0.260647267,0.238383153,0.273910021,0.2261032,0.393475688,0.33682404,0.265118484,0.200890074,0.262759749
"Central tendency: Relative, 0.05: Adversity: 0.05,",80,0.239234406,0.232384451,0.391889802,0.237933918,0.356700993,0.317098803,0.475091224,0.233969852,0.274597766
"Central tendency: Relative, 0.05: Adversity: 0.05,",81,0.229635653,0.217878968,0.298477849,0.251588686,0.386346194,0.265136856,0.40559456,0.205521433,0.277207842
"Central tendency: Relative, 0.05: Adversity: 0.05,",82,0.226018907,0.246719877,0.284993304,0.243863905,0.474419832,0.356134262,0.315891976,0.202644191,0.265755089
"Central tendency: Relative, 0.05: Adversity: 0.05,",83,0.257094001,0.264570721,0.308738431,0.218008294,0.238824777,0.336018187,0.380855564,0.205056645,0.295004314
"Central tendency: Relative, 0.05: Adversity: 0.05,",84,0.247070152,0.238686269,0.252571697,0.234057391,0.444227692,0.447420902,0.394535975,0.253456893,0.27625126
"Central tendency: Relative, 0.05: Adversity: 0.05,",85,0.23631517,0.24185792,0.33873898,0.220050546,0.33311897,0.317010325,0.286059923,0.179012745,0.259548868
"Central tendency: Relative, 0.05: Adversity: 0.05,",86,0.244316082,0.246542707,0.258468631,0.267441488,0.459128207,0.456906028,0.29594897,0.207950966,0.269333203
"Central tendency: Relative, 0.05: Adversity: 0.05,",87,0.240515767,0.286519554,0.420885137,0.203483512,0.406733637,0.312911558,0.289977267,0.218646657,0.262579157
"Central tendency: Relative, 0.05: Adversity: 0.05,",88,0.236784169,0.245667719,0.272085251,0.231908817,0.338875441,0.317704872,0.441359924,0.222551078,0.274302043
"Central tendency: Relative, 0.05: Adversity: 0.05,",89,0.249242997,0.244616488,0.362522514,0.240288645,0.467115869,0.336417711,0.33168243,0.217373376,0.271476871
"Central tendency: Relative, 0.05: Adversity: 0.05,",90,0.25553669,0.253030401,0.373004482,0.208609261,0.217073753,0.343674813,0.330371612,0.207830597,0.269249711
"Central tendency: Relative, 0.05: Adversity: 0.05,",91,0.25323027,0.234999388,0.287812319,0.235249516,0.341712692,0.277369042,0.358074608,0.201721019,0.270433025
"Central tendency: Relative, 0.05: Adversity: 0.05,",92,0.237414289,0.244547505,0.359241665,0.246552509,0.388323838,0.427594824,0.384026396,0.222953607,0.253914785
"Central tendency: Relative, 0.05: Adversity: 0.05,",93,0.246699398,0.267377591,0.384345674,0.243511533,0.44762528,0.317985651,0.269149161,0.192461901,0.269563903
"Central tendency: Relative, 0.05: Adversity: 0.05,",94,0.249744374,0.240524431,0.292557335,0.246432093,0.459570357,0.298241186,0.346720502,0.233338217,0.267181828
"Central tendency: Relative, 0.05: Adversity: 0.05,",95,0.242090936,0.245541668,0.316878524,0.222066274,0.47120682,0.263175893,0.30693801,0.206951385,0.247913615
"Central tendency: Relative, 0.05: Adversity: 0.05,",96,0.238294334,0.2245235,0.332653127,0.233750545,0.315866965,0.256998181,0.320424387,0.232789015,0.263020042
"Central tendency: Relative, 0.05: Adversity: 0.05,",97,0.252430036,0.241681575,0.400196237,0.247633369,0.296622013,0.268562161,0.251762174,0.259521888,0.302452908
"Central tendency: Relative, 0.05: Adversity: 0.05,",98,0.254481126,0.234966069,0.238727438,0.211746176,0.481664788,0.39897854,0.320952054,0.203567503,0.267497244
"Central tendency: Relative, 0.05: Adversity: 0.05,",99,0.263356882,0.276287224,0.382840589,0.216471916,0.305187365,0.281922377,0.276097548,0.221691508,0.271143567
"Central tendency: Relative, 0.05: Adversity: 0.05,",100,0.243375288,0.264841278,0.303445404,0.232733112,0.408572982,0.263080958,0.35204481,0.236177318,0.272405143
"Central tendency: Relative, 0.05: Adversity: 0.05,",101,0.260613741,0.23547598,0.278262032,0.219035948,0.336057881,0.223069135,0.326604924,0.197704204,0.243966771
"Central tendency: Relative, 0.05: Adversity: 0.05,",102,0.286659828,0.256713369,0.248251577,0.207671596,0.442267443,0.241153057,0.330550709,0.233045015,0.284953284
"Central tendency: Relative, 0.05: Adversity: 0.05,",103,0.255863123,0.24025373,0.278556255,0.234279754,0.206933807,0.450977271,0.269849243,0.204010863,0.243064127
"Central tendency: Relative, 0.05: Adversity: 0.05,",104,0.24636677,0.225828153,0.466815125,0.207814333,0.441595079,0.352914963,0.290661654,0.240239076,0.274775117
"Central tendency: Relative, 0.05: Adversity: 0.05,",105,0.258583792,0.254371586,0.355252195,0.222752386,0.484856195,0.34262965,0.285042615,0.233651552,0.256367681
"Central tendency: Relative, 0.05: Adversity: 0.05,",106,0.261392896,0.250737748,0.373647169,0.211758865,0.457202354,0.373715067,0.246721682,0.233155321,0.273219149
"Central tendency: Relative, 0.05: Adversity: 0.05,",107,0.253302461,0.24653928,0.396610507,0.206875491,0.396717571,0.319960099,0.336932805,0.224832493,0.282989314
"Central tendency: Relative, 0.05: Adversity: 0.05,",108,0.248936991,0.248873497,0.310694569,0.206424916,0.293324269,0.206051529,0.2737686,0.214714161,0.248494514
"Central tendency: Relative, 0.05: Adversity: 0.05,",109,0.249504997,0.280979123,0.324807927,0.266075129,0.304196857,0.461873369,0.367714222,0.214342248,0.284204056
"Central tendency: Relative, 0.05: Adversity: 0.05,",110,0.25037854,0.233170733,0.288766934,0.215919797,0.283072614,0.426627552,0.409835157,0.243515124,0.262198255
"Central tendency: Relative, 0.05: Adversity: 0.05,",111,0.235464764,0.248896764,0.301307282,0.210984285,0.422941621,0.287066027,0.514368501,0.213172167,0.273811382
"Central tendency: Relative, 0.05: Adversity: 0.05,",112,0.23022865,0.281741699,0.376625677,0.238486438,0.481045689,0.39932011,0.321900084,0.227486537,0.287290579
"Central tendency: Relative, 0.05: Adversity: 0.05,",113,0.245404676,0.234851619,0.267593473,0.216425441,0.443109673,0.318491585,0.338880697,0.210835592,0.270562038
"Central tendency: Relative, 0.05: Adversity: 0.05,",114,0.274400105,0.24903091,0.325642138,0.219375292,0.251019338,0.355636312,0.306125659,0.23489445,0.253849357
"Central tendency: Relative, 0.05: Adversity: 0.05,",115,0.221688968,0.234500647,0.348151214,0.213844899,0.456861539,0.43842524,0.366957507,0.221021124,0.276566465
"Central tendency: Relative, 0.05: Adversity: 0.05,",116,0.250274639,0.243272867,0.27099769,0.242348007,0.486814924,0.264653317,0.287757015,0.165977872,0.264653572
"Central tendency: Relative, 0.05: Adversity: 0.05,",117,0.250473764,0.231988929,0.303916878,0.233798573,0.348456166,0.302089828,0.320209195,0.221364993,0.27504426
"Central tendency: Relative, 0.05: Adversity: 0.05,",118,0.233400392,0.238787067,0.278179576,0.224313562,0.457624248,0.289904354,0.398094244,0.22005452,0.263082122
"Central tendency: Relative, 0.05: Adversity: 0.05,",119,0.238391161,0.229566956,0.321085258,0.225776334,0.462293282,0.264720724,0.281335796,0.248242072,0.296194048
"Central tendency: Relative, 0.05: Adversity: 0.05,",120,0.262032451,0.232910753,0.412081345,0.22277774,0.391706375,0.286388982,0.302881697,0.223660533,0.29118177
"Central tendency: Relative, 0.05: Adversity: 0.05,",121,0.229617805,0.242629203,0.302365713,0.236349412,0.466530024,0.319543576,0.288954589,0.215479305,0.272782574
"Central tendency: Relative, 0.05: Adversity: 0.05,",122,0.238440605,0.227025683,0.264284458,0.233656428,0.354815746,0.44936059,0.368132079,0.222008382,0.265415302
"Central tendency: Relative, 0.05: Adversity: 0.05,",123,0.246620144,0.259935232,0.323729945,0.236973165,0.426191583,0.28826506,0.298908243,0.196931889,0.269837898
"Central tendency: Relative, 0.05: Adversity: 0.05,",124,0.249821095,0.244676802,0.278208318,0.261848316,0.279623965,0.338684857,0.355217313,0.235416935,0.278732041
"Central tendency: Relative, 0.05: Adversity: 0.05,",125,0.262090183,0.256223445,0.352574533,0.238470104,0.32662565,0.35388163,0.279035348,0.234859896,0.27254712
"Central tendency: Relative, 0.05: Adversity: 0.05,",126,0.237893911,0.251351251,0.257242184,0.224996534,0.302991004,0.236130722,0.287400072,0.210278442,0.255448641
"Central tendency: Relative, 0.05: Adversity: 0.05,",127,0.246195574,0.22674089,0.263591146,0.235754687,0.325523593,0.305110851,0.434765806,0.214187652,0.250802048
